,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
0,The Dark Knight,Christopher Nolan,2008,9.0,1791916,533.32,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",,
1,Inception,Christopher Nolan,2010,8.8,1583625,292.57,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",,
2,The Dark Knight Rises,Christopher Nolan,2012,8.5,1222645,448.13,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",,
3,Interstellar,Christopher Nolan,2014,8.6,1047747,187.99,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']",,
4,The Avengers,Joss Whedon,2012,8.1,1045588,623.28,"['Paramount Pictures', 'Marvel Studios']",,
5,Django Unchained,Quentin Tarantino,2012,8.4,1039115,162.8,"['Columbia Pictures', 'The Weinstein Company']",,
6,Inglourious Basterds,Quentin Tarantino,2009,8.3,959065,120.52,"['Universal Pictures', 'A Band Apart', 'The Weinstein Company', 'Zehnte Babelsberg', 'Visiona Romantica']",,
7,The Departed,Martin Scorsese,2006,8.5,937414,132.37,"['Vertigo Entertainment', 'Media Asia Films', 'Warner Bros.', 'Initial Entertainment Group (IEG)', 'Plan B Entertainment']",2007,1
8,Avatar,James Cameron,2009,7.8,935408,760.51,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",,1
9,The Prestige,Christopher Nolan,2006,8.5,913152,53.08,"['Warner Bros.', 'Touchstone Pictures', 'Syncopy']",,
10,The Wolf of Wall Street,Martin Scorsese,2013,8.2,865134,116.87,"['Paramount Pictures', 'Appian Way', 'EMJAG Productions', 'Red Granite Pictures', 'Sikelia Productions']",,1
11,Shutter Island,Martin Scorsese,2010,8.1,855604,127.97,"['Paramount Pictures', 'Appian Way', 'Phoenix Pictures', 'Sikelia Productions']",,1
